DRUG_NAME,STRUCT_ID
levobupivacaine,4
(S)-nicardipine,5
(S)-nitrendipine,6
levdobutamine,13
aminopterin,21
phenylbutanoic acid,24
azacitidine,25
fluorouracil,26
azaribine,27
methoxsalen,30
abacavir,34
abarelix,35
acamprosate,38
acarbose,39
acebutolol,40
aceclofenac,43
acediasulfone,44
acemetacin,47
acenocoumarol,48
acefylline,49
aceprometazine,50
paracetamol,52
acetanilide,54
acetazolamide,56
acetohexamide,57
acetohydroxamic acid,58
acetophenazine,59
racecadotril,60
acetoxolone,62
acetylcholine,65
acetylcysteine,66
acetyldigitoxin,67
acepromazine,73
acetylsalicylic acid,74
acipimox,76
acitretin,78
aclarubicin,80
aclatonium,81
acrivastine,82
acyclovir,85
adapalene,87
adefovir dipivoxil,88
adenine,89
adenosine,90
adenosine triphosphate,91
adenosine phosphate,92
adinazolam,93
adiphenine,94
agomelatine,99
ajmaline,100
alacepril,101
alatrofloxacin,102
albendazole,103
albendazole sulfoxide,104
salbutamol,105
alclofenac,107
alcuronium,109
aldosterone,111
alendronic acid,112
alexidine,113
alfentanil,114
alfuzosin,115
aliskiren,119
alizapride,120
allopurinol,124
almotriptan,128
alosetron,129
alfacalcidol,130
alfaxalone,133
alpidem,134
alprazolam,136
alprenolol,137
alprostadil,138
altretamine,141
alvimopan,143
amantadine,144
ambenonium,146
ambroxol,147
amcinonide,150
amidefrine,155
amifostine,156
amikacin,157
amiloride,158
aminoacridine,160
amineptine,161
aminocaproic acid,163
aminoglutethimide,164
aminohippuric acid,165
aminophenazone,171
aminopicoline,172
aminoquinuride,174
amiodarone,176
amisulpride,179
amitriptyline,180
amitriptylinoxide,181
amlexanox,182
amlodipine,183
amodiaquine,186
amoxapine,191
amoxicillin,192
amperozide,193
amfetamine,195
ampicillin,198
amprenavir,200
amrinone,201
amsacrine,203
anagrelide,209
anastrozole,210
androisoxazole,213
androstenediol,214
androstenedione,215
anecortave,217
anhydrovinblastine,219
anileridine,220
anisindione,222
octatropine methylbromide,223
antazoline,224
dithranol,226
apomorphine,228
apraclonidine,229
aprepitant,230
aprindine,231
aranidipine,234
arbutamine,237
argatroban,239
aripiprazole,242
arsenic trioxide,244
astemizole,249
asulacrine,252
atazanavir,254
atenolol,255
atomoxetine,256
atorvastatin,257
atovaquone,258
atracurium,259
atropine,260
azapetine,265
azapropazone,266
azasetron,267
azatadine,268
azathioprine,269
azelaic acid,270
azelastine,271
azelnidipine,272
azimilide,274
azithromycin,276
azlocillin,277
aztreonam,279
bacampicillin,280
bacitracin,281
baclofen,282
balsalazide,284
bambuterol,285
bamipine,288
barnidipine,290
beclometasone dipropionate,294
belotecan,296
benazepril,299
bendamustine,302
bendroflumethiazide,305
benoxaprofen,311
benperidol,312
diphenidol,313
benserazide,314
benzarone,317
benzbromarone,318
benziodarone,321
benzocaine,323
benzonatate,326
benzphetamine,329
benzquinamide,331
benzthiazide,332
benzatropine,333
benzyl benzoate,335
bepotastine,341
bepridil,342
beraprost,343
betacarotene,345
betahistine,346
betamethasone,348
betamethasone acetate,349
betamethasone benzoate,351
betamethasone dipropionate,353
betamethasone valerate,354
betamipron,355
betaxolol,356
betazole,357
bethanechol,358
betanidine,359
bevantolol,360
bexarotene,361
bezafibrate,362
biapenem,365
bicalutamide,367
bifemelane,369
bifonazole,370
bimatoprost,371
biotin,373
biperiden,374
bisacodyl,375
bisantrene,376
bisoprolol,380
bisulepine,383
bitolterol,384
bivalirudin,385
blonanserin,388
bopindolol,389
bortezomib,391
bosentan,392
bretylium,394
brimonidine,395
brinzolamide,396
brivudine,397
brodimoprim,398
bromazepam,399
bromfenac,401
bromhexine,402
bromocriptine,403
bromazine,404
bromopride,406
bromperidol,407
brompheniramine,408
brotizolam,409
broxyquinoline,412
buclizine,416
budesonide,419
budipine,420
buflomedil,422
bufuralol,424
bumetanide,427
bunazosin,429
levobunolol,431
bupivacaine,432
bupranolol,433
buprenorphine,434
bupropion,435
buserelin,436
buspirone,437
busulfan,438
secbutabarbital,439
butalbital,441
butenafine,444
butoconazole,450
butorphanol,454
butriptyline,455
scopolamine butylbromide,458
cabergoline,460
cadralazine,461
caffeine,463
calcifediol,464
calcipotriene,465
calcitriol,466
camphor,470
camostat,471
camylofin,472
candesartan cilexetil,475
canrenone,478
capecitabine,480
captopril,484
caramiphen,486
carazolol,487
carbachol,488
carbamazepine,489
carbenicillin,492
carbenoxolone,493
pentoxyverine,494
carbetocin,495
carbidopa,496
carbimazole,497
carbinoxamine,499
carboprost,502
carbutamide,505
carindacillin,508
carubicin,510
carmofur,511
carmustine,512
levocarnitine,513
carperitide,515
carfenazine,516
carpipramine,517
carprofen,518
carteolol,520
carumonam,521
carvedilol,522
cefacetrile,524
cefaclor,525
cefadroxil,526
cefamandole,527
cefamandole nafate,528
cefazolin,530
cefdinir,533
cefditoren pivoxil,534
cefepime,535
cefetamet pivoxil,536
cefixime,537
cefmenoxime,538
cefmetazole,539
cefonicid,542
cefoperazone,543
ceforanide,544
cefotaxime,546
cefotetan,547
cefotiam,548
cefoxitin,550
cefpiramide,552
cefprozil,556
cefsulodin,558
ceftazidime,559
ceftibuten,562
ceftizoxime,563
ceftriaxone,564
cefuroxime,565
cefuroxime axetil,566
celecoxib,568
celiprolol,569
cefalexin,571
cefaloglycin,572
cefalotin,574
cefapirin,575
cefradine,576
cerivastatin,577
cerulenin,578
ceruletide,579
cetirizine,581
cetrorelix,583
cevimeline,584
chlorambucil,588
chloramphenicol,589
chlorcyclizine,593
chlordiazepoxide,594
chlorhexidine,597
chlormadinone,600
clomethiazole,602
chloroprocaine,605
chloropyramine,606
chloroquine,607
chlorothiazide,609
chlorotrianisene,610
chloroxine,611
chlorphenamine,616
chlorphentermine,618
chlorproethazine,619
chlorpromazine,621
chlorpropamide,622
chlorprothixene,623
chlortetracycline,624
chlortalidone,625
chlorzoxazone,626
cianidanol,629
cibenzoline,630
cicaprost,631
cyclacillin,632
ciclesonide,633
ciclopirox,636
cicloprolol,637
cidofovir,639
cilastatin,640
cilazapril,641
cilnidipine,642
cilostazol,644
cimetidine,645
cinacalcet,647
cinalukast,648
cinnarizine,654
cinoxacin,657
ciprofibrate,658
ciprofloxacin,659
cisapride,660
cisatracurium,661
citalopram,663
citric acid,666
cladribine,667
clarithromycin,668
clavulanic acid,669
clebopride,670
clemastine,671
clemizole,672
clenbuterol,673
clevidipine,674
clidinium,676
clindamycin,678
clioquinol,681
clobazam,682
clodronic acid,690
clofarabine,691
clofazimine,692
clofibrate,694
clofibric acid,695
clometacin,698
clomifene,700
clomipramine,701
clonazepam,703
clonidine,704
clonixin,705
cloperastine,707
clopidogrel,708
clorazepate,711
clorprenaline,714
clotiapine,717
clotrimazole,719
cloxacillin,720
cloxazolam,721
clozapine,722
cocaine,723
codeine,725
colchicine,726
colforsin daropate,729
conivaptan,732
cortisone acetate,734
cortivazol,736
cotinine,737
coumarin,738
cromoglicic acid,741
cyamemazine,746
cyclizine,749
cyclobenzaprine,751
cyclofenil,753
cycloguanil,754
cyclopentolate,757
cyclophosphamide,758
cycloserine,759
ciclosporin,760
cyclothiazide,761
cyclovalone,762
cycrimine,763
cyproheptadine,765
cyproterone acetate,766
cysteine,769
cytarabine,770
dacarbazine,773
dactinomycin,774
dabigatran etexilate,776
danazol,779
dantrolene,780
dapiprazole,781
dapsone,782
daptomycin,783
darifenacin,784
dasatinib,785
daunorubicin,786
deanol,787
debrisoquine,788
decamethonium,789
decitabine,790
deferoxamine,792
prasterone,795
delapril,798
delavirdine,799
delorazepam,800
demecarium,801
demeclocycline,802
denopamine,806
deptropine,808
desalkylflurazepam,809
deserpidine,810
desflurane,811
desipramine,812
deslanoside,813
desloratadine,814
nordazepam,816
desmopressin,817
desogestrel,818
desoximetasone,819
desoxycortone,820
desoxycorticosterone acetate,821
desoxycorticosterone pivalate,822
dexamethasone,824
dexamethasone acetate,826
dexamethasone palmitate,828
dexamethasone valerate,829
dexbrompheniramine,830
dexetimide,831
dexfenfluramine,832
dexketoprofen,833
dexloxiglumide,834
dexmedetomidine,835
dexmethylphenidate,836
dexniguldipine,837
dexamfetamine,841
dextromethorphan,842
dextropropoxyphene,844
dextrothyroxine,846
dezocine,847
diacerein,849
diazepam,852
diazoxide,854
dibekacin,855
cinchocaine,859
phenazone,861
dichloroacetic acid,862
dichlorophen,863
dichlorphenamide,864
