GENE,CANCER
FGFR3,BLADDER
STAG2,BLADDER
APC,COLON
ARHGAP5,COLON
ARHGEF10,COLON
AXIN1,COLON
BAX,COLON
BCL9L,COLON
CTNNB1,COLON
EIF3E,COLON
EP300,COLON
ERBB3,COLON
FBXW7,COLON
MLH1,COLON
MSH2,COLON
MSH6,COLON
NTRK2,COLON
PIK3CA,COLON
PTPRK,COLON
RSPO2,COLON
RSPO3,COLON
SALL4,COLON
SFRP4,COLON
SMAD4,COLON
SRC,COLON
STAG1,COLON
TCF7L2,COLON
USP9X,COLON
VTI1A,COLON
WDCP,COLON
ZNRF3,COLON
CD74,NSCLC
EML4,NSCLC
EZR,NSCLC
KDR,NSCLC
KEAP1,NSCLC
KIF5B,NSCLC
LRIG3,NSCLC
MAP2K1,NSCLC
MAP2K2,NSCLC
NFE2L2,NSCLC
NKX2-1,NSCLC
NRG1,NSCLC
SDC4,NSCLC
SLC34A2,NSCLC
SMARCA4,NSCLC
SOX2,NSCLC
STK11,NSCLC
AKT2,OVARIAN
ARID1A,OVARIAN
BRCA1,OVARIAN
CASP3,OVARIAN
CSMD3,OVARIAN
PPP2R1A,OVARIAN
