DRUG_NAME	nGENE	BLADDER_CPS	BLADDER_CGPS	COLON_CPS	COLON_CGPS	NSCLC_CPS	NSCLC_CGPS	OVARIAN_CPS	OVARIAN_CGPS
(S)-nicardipine	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(S)-nitrendipine	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Choline C-11	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Florbetapir F-18	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Flutemetamol (18F)	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N-Acetylglucosamine	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Vitamin E	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abacavir	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abaloparatide	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abametapir	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abarelix	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abatacept	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abciximab	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abemaciclib	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abiraterone acetate	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acalabrutinib	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acamprosate	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acarbose	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acebutolol	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aceclidine	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aceclofenac	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acediasulfone	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acefylline	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acemetacin	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acenocoumarol	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acepromazine	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aceprometazine	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acetanilide	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acetazolamide	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acetic acid	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acetohexamide	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acetohydroxamic acid	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acetophenazine	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acetoxolone	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acetylcholine	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acetylcysteine	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acetyldigitoxin	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acetylmethadol	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acetylsalicylic acid	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acipimox	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acitretin	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aclarubicin	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aclatonium	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aclidinium bromide	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acotiamide	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acrivastine	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acyclovir	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
adalimumab	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
adapalene	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
adefovir dipivoxil	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ademetionine	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
adenine	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
adenosine	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
adenosine phosphate	11.0	0.0	0.0	3.4482758620689653	9.090909090909092	0.0	0.0	0.0	0.0
adenosine triphosphate	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
adinazolam	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
adiphenine	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
adipic acid	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
afamelanotide	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
afatinib	38.0	0.0	0.0	6.896551724137931	5.263157894736842	0.0	0.0	0.0	0.0
aflibercept	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
agomelatine	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ajmaline	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
alacepril	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
alatrofloxacin	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
albendazole	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
albendazole sulfoxide	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
albiglutide	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
alcaftadine	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
alclofenac	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
alclometasone dipropionate	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
alcuronium	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aldesleukin	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aldesulfone	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aldosterone	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
alectinib	5.0	0.0	0.0	0.0	0.0	5.88235294117647	20.0	0.0	0.0
alefacept	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
alemtuzumab	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
alendronic acid	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
alexidine	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
alfacalcidol	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
alfaxalone	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
alfentanil	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
alfuzosin	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
alimemazine	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
alirocumab	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aliskiren	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
alitretinoin	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
